method,model,top_n,accuracy,roc_auc,brier
gain,XGBoost,20,0.6655506607929516,0.7312722226111517,0.20943284034729004
gain,XGBoost,30,0.6761674008810573,0.7417724822887907,0.20569901168346405
gain,XGBoost,50,0.6770925110132159,0.7467053151493519,0.20377501845359802
gain,XGBoost,80,0.6803083700440529,0.7493727073268933,0.20279954373836517
gain,XGBoost,100,0.6790969162995595,0.7504087364912599,0.20236313343048096
gain,XGBoost,120,0.6794933920704845,0.7497341555497482,0.20261654257774353
gain,XGBoost,150,0.6826651982378855,0.7514955684582065,0.20203666388988495
gain,XGBoost,200,0.6814977973568281,0.7517223056487784,0.2019307166337967
gain,CalXGBoost,20,0.6672687224669603,0.7334767278804288,0.20864714489322453
gain,CalXGBoost,30,0.6758590308370044,0.7431192655653623,0.20520862340176393
gain,CalXGBoost,50,0.6803083700440529,0.7493945340252608,0.20285073268914797
gain,CalXGBoost,80,0.6816519823788546,0.7513239720428129,0.20212115552623575
gain,CalXGBoost,100,0.6820925110132159,0.7525492940275671,0.2016905412579049
gain,CalXGBoost,120,0.6823348017621146,0.7531708992983448,0.20146216228156424
gain,CalXGBoost,150,0.6844933920704845,0.753913534975071,0.2012158664844986
gain,CalXGBoost,200,0.6841189427312775,0.7540518318706086,0.20119967427396007
perm,XGBoost,20,0.6715418502202644,0.7399009673657544,0.20633098483085632
perm,XGBoost,30,0.6756607929515418,0.7443246338466296,0.20467112958431244
perm,XGBoost,50,0.6802863436123348,0.7491982528959961,0.2028632014989853
perm,XGBoost,80,0.681762114537445,0.7515083465533291,0.20202341675758362
perm,XGBoost,100,0.6815638766519824,0.750919146034905,0.2022106945514679
perm,XGBoost,120,0.6812555066079296,0.7515699312072659,0.20196327567100525
perm,XGBoost,150,0.6806167400881057,0.7519224754259627,0.2018539011478424
perm,XGBoost,200,0.6811894273127753,0.7508287851922709,0.2022586613893509
perm,CalXGBoost,20,0.6745374449339208,0.7418570979865073,0.20576753853184648
perm,CalXGBoost,30,0.6780396475770926,0.7469244371115175,0.20380823907592951
perm,CalXGBoost,50,0.681453744493392,0.7523268550205828,0.20186096830854394
perm,CalXGBoost,80,0.6837885462555066,0.7543712114638994,0.20113180307182116
perm,CalXGBoost,100,0.6828854625550661,0.7535712136206579,0.20136917371652446
perm,CalXGBoost,120,0.6842951541850221,0.7549813885545174,0.20085470088681537
perm,CalXGBoost,150,0.683942731277533,0.7547407844085866,0.20095948311532633
perm,CalXGBoost,200,0.6818281938325991,0.7539675868900132,0.2011606471102827
